Simulación,Secuencia,Peso [kg],V_Inicial_Z [m/s],V_Final_Z [m/s],KE_Inicial [J],KE_Final [J],KE_Abs [J],%KE_Abs [%]
case_0015_TTCTCCCCCTCC,TTCTCCCCCTCC,0.728438,180.5,82.91746520996094,814.50625,171.88265092112707,642.623599078873,78.8973195821239
case_0016_TTCTCCCCCCTC,TTCTCCCCCCTC,0.728438,180.5,58.792625427246094,814.50625,86.4143201157116,728.0919298842884,89.39058845580232
case_0017_TTCTCCCCCCCT,TTCTCCCCCCCT,0.728438,180.5,63.89591598510742,814.50625,102.06720198939766,712.4390480106024,87.46882519447854
case_0018_TTCCTTCCCCCC,TTCCTTCCCCCC,0.728438,180.5,56.88679504394531,814.50625,80.90268625929603,733.603563740704,90.06727250290639
case_0019_TTCCTCTCCCCC,TTCCTCTCCCCC,0.728438,180.5,43.64201736450195,814.50625,47.61564199108725,766.8906080089127,94.15404829722456
case_0020_TTCCTCCTCCCC,TTCCTCCTCCCC,0.728438,180.5,57.45256805419922,814.50625,82.51993940055982,731.9863105994402,89.86871624366789
case_0021_TTCCTCCCTCCC,TTCCTCCCTCCC,0.728438,180.5,27.47779655456543,814.50625,18.875732587352196,795.6305174126478,97.68255521828688
case_0022_TTCCTCCCCTCC,TTCCTCCCCTCC,0.728438,180.5,23.424983978271484,814.50625,13.718246859556894,800.7880031404432,98.31575916580665
case_0023_TTCCTCCCCCTC,TTCCTCCCCCTC,0.728438,180.5,14.898834228515623,814.50625,5.549381534219719,808.9568684657803,99.31868152832224
case_0024_TTCCTCCCCCCT,TTCCTCCCCCCT,0.728438,180.5,27.18790054321289,814.50625,18.479548398690895,796.0267016013091,97.73119624328346
case_0025_TTCCCTTCCCCC,TTCCCTTCCCCC,0.728438,180.5,-0.3598173260688782,814.50625,0.0032367127034839353,814.5030132872965,99.9996026165909
case_0026_TTCCCTCTCCCC,TTCCCTCTCCCC,0.728438,180.5,4.520908832550049,814.50625,0.5109654168057262,813.9952845831943,99.93726685132181
case_0027_TTCCCTCCTCCC,TTCCCTCCTCCC,0.728438,180.5,8.833248138427734,814.50625,1.950656816875926,812.5555931831241,99.76051051580316
