Simulación,Secuencia,Peso_kg,Time,Vz
case_0022_TTCCTCCCCTCC,TTCCTCCCCTCC,0.728438,0.16412101686000824,-96.09525299072266
case_0022_TTCCTCCCCTCC,TTCCTCCCCTCC,0.728438,0.32822367548942566,-59.040924072265625
case_0022_TTCCTCCCCTCC,TTCCTCCCCTCC,0.728438,0.4923520088195801,-38.42464828491211
case_0022_TTCCTCCCCTCC,TTCCTCCCCTCC,0.728438,0.650026261806488,-23.424983978271484
case_0024_TTCCTCCCCCCT,TTCCTCCCCCCT,0.728438,0.0,-180.5
case_0024_TTCCTCCCCCCT,TTCCTCCCCCCT,0.728438,0.16410408914089203,-96.87581634521484
case_0024_TTCCTCCCCCCT,TTCCTCCCCCCT,0.728438,0.3282375931739807,-62.22475814819336
case_0024_TTCCTCCCCCCT,TTCCTCCCCCCT,0.728438,0.4923648238182068,-42.34022521972656
case_0024_TTCCTCCCCCCT,TTCCTCCCCCCT,0.728438,0.6500284671783447,-27.18790054321289
case_0023_TTCCTCCCCCTC,TTCCTCCCCCTC,0.728438,0.0,-180.5
case_0023_TTCCTCCCCCTC,TTCCTCCCCCTC,0.728438,0.1641014665365219,-95.76880645751953
case_0023_TTCCTCCCCCTC,TTCCTCCCCCTC,0.728438,0.32822880148887634,-56.001834869384766
case_0023_TTCCTCCCCCTC,TTCCTCCCCCTC,0.728438,0.49236389994621277,-33.24550247192383
case_0023_TTCCTCCCCCTC,TTCCTCCCCCTC,0.728438,0.6500142216682434,-14.898834228515625
case_0025_TTCCCTTCCCCC,TTCCCTTCCCCC,0.728438,0.0,-180.5
case_0025_TTCCCTTCCCCC,TTCCCTTCCCCC,0.728438,0.16410958766937256,-91.60314178466797
case_0025_TTCCCTTCCCCC,TTCCCTTCCCCC,0.728438,0.32823050022125244,-50.13789749145508
case_0025_TTCCCTTCCCCC,TTCCCTTCCCCC,0.728438,0.4923739731311798,-21.852880477905273
case_0025_TTCCCTTCCCCC,TTCCCTTCCCCC,0.728438,0.6500275731086731,0.3598173260688782
case_0026_TTCCCTCTCCCC,TTCCCTCTCCCC,0.728438,0.0,-180.5
case_0026_TTCCCTCTCCCC,TTCCCTCTCCCC,0.728438,0.1640997678041458,-94.53305053710938
case_0026_TTCCCTCTCCCC,TTCCCTCTCCCC,0.728438,0.32822832465171814,-53.277801513671875
case_0026_TTCCCTCTCCCC,TTCCCTCTCCCC,0.728438,0.49235862493515015,-27.270030975341797
case_0026_TTCCCTCTCCCC,TTCCCTCTCCCC,0.728438,0.6500080823898315,-4.520908832550049
case_0028_TTCCCTCCCTCC,TTCCCTCCCTCC,0.728438,0.0,-180.5
case_0028_TTCCCTCCCTCC,TTCCCTCCCTCC,0.728438,0.16410112380981445,-95.66471862792969
case_0028_TTCCCTCCCTCC,TTCCCTCCCTCC,0.728438,0.32824578881263733,-56.90443801879883
case_0028_TTCCCTCCCTCC,TTCCCTCCCTCC,0.728438,0.492374062538147,-32.56533432006836
case_0028_TTCCCTCCCTCC,TTCCCTCCCTCC,0.728438,0.6500210762023926,-11.81904125213623
case_0027_TTCCCTCCTCCC,TTCCCTCCTCCC,0.728438,0.0,-180.5
case_0027_TTCCCTCCTCCC,TTCCCTCCTCCC,0.728438,0.16411127150058746,-95.83026885986328
case_0027_TTCCCTCCTCCC,TTCCCTCCTCCC,0.728438,0.3282261788845062,-57.06916046142578
case_0027_TTCCCTCCTCCC,TTCCCTCCTCCC,0.728438,0.4923594295978546,-31.60624122619629
case_0027_TTCCCTCCTCCC,TTCCCTCCTCCC,0.728438,0.6500008702278137,-8.833248138427734
case_0030_TTCCCTCCCCCT,TTCCCTCCCCCT,0.728438,0.0,-180.5
case_0030_TTCCCTCCCCCT,TTCCCTCCCCCT,0.728438,0.1641177237033844,-99.2860336303711
case_0030_TTCCCTCCCCCT,TTCCCTCCCCCT,0.728438,0.32824957370758057,-74.22422790527344
case_0030_TTCCCTCCCCCT,TTCCCTCCCCCT,0.728438,0.4923594295978546,-62.25830841064453
case_0030_TTCCCTCCCCCT,TTCCCTCCCCCT,0.728438,0.6500100493431091,-58.613746643066406
case_0029_TTCCCTCCCCTC,TTCCCTCCCCTC,0.728438,0.0,-180.5
case_0029_TTCCCTCCCCTC,TTCCCTCCCCTC,0.728438,0.16409830749034882,-99.08161926269531
case_0029_TTCCCTCCCCTC,TTCCCTCCCCTC,0.728438,0.32823073863983154,-66.9155044555664
case_0029_TTCCCTCCCCTC,TTCCCTCCCCTC,0.728438,0.49237141013145447,-49.43019485473633
case_0029_TTCCCTCCCCTC,TTCCCTCCCCTC,0.728438,0.6500083804130554,-41.424468994140625
case_0032_TTCCCCTCTCCC,TTCCCCTCTCCC,0.728438,0.0,-180.5
case_0032_TTCCCCTCTCCC,TTCCCCTCTCCC,0.728438,0.1641128659248352,-95.54092407226562
case_0032_TTCCCCTCTCCC,TTCCCCTCTCCC,0.728438,0.32822638750076294,-62.55261993408203
case_0032_TTCCCCTCTCCC,TTCCCCTCTCCC,0.728438,0.49235185980796814,-40.85541534423828
case_0032_TTCCCCTCTCCC,TTCCCCTCTCCC,0.728438,0.6500088572502136,-23.410715103149414
case_0031_TTCCCCTTCCCC,TTCCCCTTCCCC,0.728438,0.0,-180.5
case_0031_TTCCCCTTCCCC,TTCCCCTTCCCC,0.728438,0.16411936283111572,-94.41415405273438
case_0031_TTCCCCTTCCCC,TTCCCCTTCCCC,0.728438,0.32822659611701965,-54.98408889770508
case_0031_TTCCCCTTCCCC,TTCCCCTTCCCC,0.728438,0.49235591292381287,-29.690006256103516
case_0031_TTCCCCTTCCCC,TTCCCCTTCCCC,0.728438,0.6500084400177002,-6.224335193634033
case_0034_TTCCCCTCCCTC,TTCCCCTCCCTC,0.728438,0.0,-180.5
case_0034_TTCCCCTCCCTC,TTCCCCTCCCTC,0.728438,0.16411300003528595,-99.10539245605469
case_0034_TTCCCCTCCCTC,TTCCCCTCCCTC,0.728438,0.3282376527786255,-73.3945083618164
case_0034_TTCCCCTCCCTC,TTCCCCTCCCTC,0.728438,0.4923621714115143,-61.17165756225586
case_0034_TTCCCCTCCCTC,TTCCCCTCCCTC,0.728438,0.6500247120857239,-56.0948600769043
case_0033_TTCCCCTCCTCC,TTCCCCTCCTCC,0.728438,0.0,-180.5
case_0033_TTCCCCTCCTCC,TTCCCCTCCTCC,0.728438,0.16410787403583527,-94.1777114868164
case_0033_TTCCCCTCCTCC,TTCCCCTCCTCC,0.728438,0.3282371163368225,-53.40592575073242
case_0033_TTCCCCTCCTCC,TTCCCCTCCTCC,0.728438,0.4923688471317291,-25.89196014404297
case_0033_TTCCCCTCCTCC,TTCCCCTCCTCC,0.728438,0.6500154137611389,-2.2630937099456787
case_0036_TTCCCCCTTCCC,TTCCCCCTTCCC,0.728438,0.0,-180.5
case_0036_TTCCCCCTTCCC,TTCCCCCTTCCC,0.728438,0.16411592066287994,-96.8274154663086
case_0036_TTCCCCCTTCCC,TTCCCCCTTCCC,0.728438,0.328222393989563,-73.82722473144531
case_0036_TTCCCCCTTCCC,TTCCCCCTTCCC,0.728438,0.49236416816711426,-64.18214416503906
case_0036_TTCCCCCTTCCC,TTCCCCCTTCCC,0.728438,0.6500113606452942,-60.88022232055664
case_0035_TTCCCCTCCCCT,TTCCCCTCCCCT,0.728438,0.0,-180.5
case_0035_TTCCCCTCCCCT,TTCCCCTCCCCT,0.728438,0.16409724950790405,-98.97708892822266
case_0035_TTCCCCTCCCCT,TTCCCCTCCCCT,0.728438,0.3282359540462494,-72.49852752685547
case_0035_TTCCCCTCCCCT,TTCCCCTCCCCT,0.728438,0.4923495352268219,-59.0595588684082
case_0035_TTCCCCTCCCCT,TTCCCCTCCCCT,0.728438,0.6500124335289001,-55.440486907958984
case_0038_TTCCCCCTCCTC,TTCCCCCTCCTC,0.728438,0.0,-180.5
case_0038_TTCCCCCTCCTC,TTCCCCCTCCTC,0.728438,0.1641102433204651,-100.43412780761719
case_0038_TTCCCCCTCCTC,TTCCCCCTCCTC,0.728438,0.328245609998703,-75.61042022705078
case_0038_TTCCCCCTCCTC,TTCCCCCTCCTC,0.728438,0.4923718273639679,-63.23089599609375
case_0038_TTCCCCCTCCTC,TTCCCCCTCCTC,0.728438,0.6500032544136047,-57.020484924316406
case_0037_TTCCCCCTCTCC,TTCCCCCTCTCC,0.728438,0.0,-180.5
case_0037_TTCCCCCTCTCC,TTCCCCCTCTCC,0.728438,0.16410481929779053,-96.29729461669922
case_0037_TTCCCCCTCTCC,TTCCCCCTCTCC,0.728438,0.32824236154556274,-59.681880950927734
case_0037_TTCCCCCTCTCC,TTCCCCCTCTCC,0.728438,0.4923672378063202,-36.18037796020508
case_0037_TTCCCCCTCTCC,TTCCCCCTCTCC,0.728438,0.6500182747840881,-21.0822696685791
case_0039_TTCCCCCTCCCT,TTCCCCCTCCCT,0.728438,0.0,-180.5
case_0039_TTCCCCCTCCCT,TTCCCCCTCCCT,0.728438,0.16411162912845612,-93.23194885253906
case_0039_TTCCCCCTCCCT,TTCCCCCTCCCT,0.728438,0.32824742794036865,-64.46670532226562
case_0039_TTCCCCCTCCCT,TTCCCCCTCCCT,0.728438,0.49236080050468445,-46.893760681152344
case_0039_TTCCCCCTCCCT,TTCCCCCTCCCT,0.728438,0.6500210165977478,-33.9213981628418
case_0040_TTCCCCCCTTCC,TTCCCCCCTTCC,0.728438,0.0,-180.5
case_0040_TTCCCCCCTTCC,TTCCCCCCTTCC,0.728438,0.1641155183315277,-97.12483978271484
case_0040_TTCCCCCCTTCC,TTCCCCCCTTCC,0.728438,0.32823577523231506,-57.85076904296875
case_0040_TTCCCCCCTTCC,TTCCCCCCTTCC,0.728438,0.49236348271369934,-30.167036056518555
case_0040_TTCCCCCCTTCC,TTCCCCCCTTCC,0.728438,0.6500024795532227,-2.761267900466919
case_0042_TTCCCCCCTCCT,TTCCCCCCTCCT,0.728438,0.0,-180.5
case_0042_TTCCCCCCTCCT,TTCCCCCCTCCT,0.728438,0.16411510109901428,-91.19078826904297
case_0042_TTCCCCCCTCCT,TTCCCCCCTCCT,0.728438,0.3282279968261719,-61.35074234008789
case_0042_TTCCCCCCTCCT,TTCCCCCCTCCT,0.728438,0.49234941601753235,-42.72480392456055
case_0042_TTCCCCCCTCCT,TTCCCCCCTCCT,0.728438,0.6500038504600525,-29.366275787353516
case_0041_TTCCCCCCTCTC,TTCCCCCCTCTC,0.728438,0.0,-180.5
case_0041_TTCCCCCCTCTC,TTCCCCCCTCTC,0.728438,0.16409826278686523,-96.26835632324219
case_0041_TTCCCCCCTCTC,TTCCCCCCTCTC,0.728438,0.32823416590690613,-57.40110397338867
case_0041_TTCCCCCCTCTC,TTCCCCCCTCTC,0.728438,0.49235841631889343,-32.55064010620117
case_0041_TTCCCCCCTCTC,TTCCCCCCTCTC,0.728438,0.6500125527381897,-7.599132537841797
case_0044_TTCCCCCCCTCT,TTCCCCCCCTCT,0.728438,0.0,-180.5
case_0044_TTCCCCCCCTCT,TTCCCCCCCTCT,0.728438,0.1640986204147339,-87.68824768066406
case_0044_TTCCCCCCCTCT,TTCCCCCCCTCT,0.728438,0.32822319865226746,-56.81113815307617
case_0044_TTCCCCCCCTCT,TTCCCCCCCTCT,0.728438,0.49235862493515015,-34.82003402709961
case_0044_TTCCCCCCCTCT,TTCCCCCCCTCT,0.728438,0.6500034928321838,-17.13736915588379
case_0043_TTCCCCCCCTTC,TTCCCCCCCTTC,0.728438,0.0,-180.5
case_0043_TTCCCCCCCTTC,TTCCCCCCCTTC,0.728438,0.1641036421060562,-93.30117797851562
case_0043_TTCCCCCCCTTC,TTCCCCCCCTTC,0.728438,0.3282264471054077,-54.68092727661133
case_0043_TTCCCCCCCTTC,TTCCCCCCCTTC,0.728438,0.4923539161682129,-27.581771850585938
case_0043_TTCCCCCCCTTC,TTCCCCCCCTTC,0.728438,0.6500192880630493,-0.31346970796585083
case_0046_TCTTTCCCCCCC,TCTTTCCCCCCC,0.728438,0.0,-180.5
case_0046_TCTTTCCCCCCC,TCTTTCCCCCCC,0.728438,0.1641228199005127,-99.88622283935547
case_0046_TCTTTCCCCCCC,TCTTTCCCCCCC,0.728438,0.3282279372215271,-78.43099212646484
case_0046_TCTTTCCCCCCC,TCTTTCCCCCCC,0.728438,0.4923715591430664,-68.13885498046875
case_0046_TCTTTCCCCCCC,TCTTTCCCCCCC,0.728438,0.6500024795532227,-65.20948028564453
case_0045_TTCCCCCCCCTT,TTCCCCCCCCTT,0.728438,0.0,-180.5
case_0045_TTCCCCCCCCTT,TTCCCCCCCCTT,0.728438,0.1641184389591217,-91.88983917236328
case_0045_TTCCCCCCCCTT,TTCCCCCCCCTT,0.728438,0.32824987173080444,-54.41348648071289
case_0045_TTCCCCCCCCTT,TTCCCCCCCCTT,0.728438,0.49235373735427856,-26.652177810668945
case_0045_TTCCCCCCCCTT,TTCCCCCCCCTT,0.728438,0.6500195264816284,-0.3252261281013489
case_0047_TCTTCTCCCCCC,TCTTCTCCCCCC,0.728438,0.0,-180.5
case_0047_TCTTCTCCCCCC,TCTTCTCCCCCC,0.728438,0.16411259770393372,-101.25238037109375
case_0047_TCTTCTCCCCCC,TCTTCTCCCCCC,0.728438,0.32824718952178955,-81.8770980834961
case_0047_TCTTCTCCCCCC,TCTTCTCCCCCC,0.728438,0.4923647940158844,-74.13890075683594
case_0047_TCTTCTCCCCCC,TCTTCTCCCCCC,0.728438,0.6500251889228821,-71.39933776855469
case_0048_TCTTCCTCCCCC,TCTTCCTCCCCC,0.728438,0.0,-180.5
case_0048_TCTTCCTCCCCC,TCTTCCTCCCCC,0.728438,0.16412122547626495,-97.32862091064453
case_0048_TCTTCCTCCCCC,TCTTCCTCCCCC,0.728438,0.3282358944416046,-63.80235290527344
case_0048_TCTTCCTCCCCC,TCTTCCTCCCCC,0.728438,0.492373526096344,-44.86579513549805
case_0048_TCTTCCTCCCCC,TCTTCCTCCCCC,0.728438,0.6500130891799927,-32.20098876953125
case_0050_TCTTCCCCTCCC,TCTTCCCCTCCC,0.728438,0.0,-180.5
case_0050_TCTTCCCCTCCC,TCTTCCCCTCCC,0.728438,0.16410785913467407,-101.90593719482422
case_0050_TCTTCCCCTCCC,TCTTCCCCTCCC,0.728438,0.3282485604286194,-82.48037719726562
case_0050_TCTTCCCCTCCC,TCTTCCCCTCCC,0.728438,0.4923665225505829,-73.45854949951172
case_0050_TCTTCCCCTCCC,TCTTCCCCTCCC,0.728438,0.6500278115272522,-69.62042236328125
case_0049_TCTTCCCTCCCC,TCTTCCCTCCCC,0.728438,0.0,-180.5
case_0049_TCTTCCCTCCCC,TCTTCCCTCCCC,0.728438,0.1641169935464859,-97.15601348876953
case_0049_TCTTCCCTCCCC,TCTTCCCTCCCC,0.728438,0.32822728157043457,-65.07942962646484
case_0049_TCTTCCCTCCCC,TCTTCCCTCCCC,0.728438,0.49237048625946045,-47.270050048828125
case_0049_TCTTCCCTCCCC,TCTTCCCTCCCC,0.728438,0.6500275135040283,-36.133384704589844
case_0051_TCTTCCCCCTCC,TCTTCCCCCTCC,0.728438,0.0,-180.5
case_0051_TCTTCCCCCTCC,TCTTCCCCCTCC,0.728438,0.1641034334897995,-102.66895294189453
case_0051_TCTTCCCCCTCC,TCTTCCCCCTCC,0.728438,0.3282404839992523,-83.5165786743164
case_0051_TCTTCCCCCTCC,TCTTCCCCCTCC,0.728438,0.49236801266670227,-77.23806762695312
case_0051_TCTTCCCCCTCC,TCTTCCCCCTCC,0.728438,0.6500226259231567,-75.34732055664062
case_0052_TCTTCCCCCCTC,TCTTCCCCCCTC,0.728438,0.0,-180.5
case_0052_TCTTCCCCCCTC,TCTTCCCCCCTC,0.728438,0.16410522162914276,-97.41873931884766
case_0052_TCTTCCCCCCTC,TCTTCCCCCCTC,0.728438,0.3282299041748047,-67.62257385253906
case_0052_TCTTCCCCCCTC,TCTTCCCCCCTC,0.728438,0.49237263202667236,-50.19504165649414
case_0052_TCTTCCCCCCTC,TCTTCCCCCCTC,0.728438,0.6500252485275269,-35.18928527832031
case_0053_TCTTCCCCCCCT,TCTTCCCCCCCT,0.728438,0.0,-180.5
case_0053_TCTTCCCCCCCT,TCTTCCCCCCCT,0.728438,0.16410574316978455,-99.43993377685547
case_0053_TCTTCCCCCCCT,TCTTCCCCCCCT,0.728438,0.3282258212566376,-77.61556243896484
case_0053_TCTTCCCCCCCT,TCTTCCCCCCCT,0.728438,0.49235573410987854,-69.8184814453125
case_0053_TCTTCCCCCCCT,TCTTCCCCCCCT,0.728438,0.6500203013420105,-67.807861328125
case_0054_TCTCTTCCCCCC,TCTCTTCCCCCC,0.728438,0.0,-180.5
case_0054_TCTCTTCCCCCC,TCTCTTCCCCCC,0.728438,0.16412322223186493,-99.37104797363281
